Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_40_807.jpg;-7.920098;0;0;0;99.66999;85.58897;0.0002390812;51.545;3.851404E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_40_876.jpg;-12.14283;0;0;0;99.66999;85.58897;0.0002377175;48.63077;4.349556E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_40_943.jpg;-15;0;0;0;99.66999;85.58897;0.0002366478;45.9308;4.828658E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_007.jpg;-15;0;0;0;99.66999;85.58897;0.0002350812;43.2308;5.072652E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_075.jpg;-15;0;0;0;99.66999;85.58897;0.0002355735;39.63083;5.304731E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_142.jpg;-15;0;0;0;99.66999;85.58897;0.0002363343;36.93085;5.341629E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_208.jpg;-11.01063;0;0;0;99.66999;85.58897;0.0002385906;34.94897;4.954366E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_277.jpg;-7.013323;0;0;0;99.66999;85.58897;0.0002421636;33.26584;4.052125E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_343.jpg;-2.929318;0;0;0;99.66999;85.58897;0.0002456455;32.7386;3.135852E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_408.jpg;0;0;0;0;99.66999;85.58897;0.0002483074;32.7386;1.846423E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_475.jpg;0;0;0;0;99.66999;85.58897;0.0002507744;32.7386;3.03172E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_543.jpg;0;0;0;0;99.66999;85.58897;0.000251962;32.7386;-7.384551E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_613.jpg;4.096961;0;0;0;99.67;85.58897;0.0002517923;33.47603;-2.057947E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_681.jpg;8.240623;0;0;0;99.67;85.58897;0.000249957;35.45369;-3.929334E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_754.jpg;12.33044;0;0;0;99.67;85.58897;0.0002477143;37.67315;-5.392805E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_824.jpg;15;0;0;0;99.67;85.58897;0.0002424826;41.27309;-7.172264E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_893.jpg;10.79274;0;0;0;99.67;85.58897;0.0002384152;43.21577;-7.861118E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_41_962.jpg;6.596171;0;0;0;99.67;85.58897;0.0002352247;44.79882;-7.99316E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_035.jpg;2.535788;0;0;0;99.67;85.58897;0.0002341581;45.25523;-7.661642E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_106.jpg;0;0;0;0;99.66999;85.58897;0.0002353089;45.25523;-6.679467E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_173.jpg;0;0;0;0;99.66999;85.58897;0.0002362156;45.25523;-5.834285E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_241.jpg;0;0;0;0;99.66999;85.58897;0.0002370909;45.25523;-4.673026E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_311.jpg;0;0;0;0;99.66999;85.58897;0.0002379078;45.25523;-3.721903E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_385.jpg;0;0;0;0;99.66999;85.58897;0.0002386758;45.25523;-2.478501E-05
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_42_450.jpg;0;0;0;0;99.66999;85.58897;0.0002395013;45.25523;-1.613581E-05
